State,Report Due Date,Payment Due Date,Eligibility Cutoff Date
AK,2023-11-01,2023-11-01,2023-11-01
AL,2023-11-01,2023-11-01,2023-11-01
AR,2023-10-31,2023-10-31,2023-10-31
AZ,2023-11-01,2023-11-01,2023-11-01
CA,2023-10-31,2023-10-31,2023-10-31
CO,2023-11-01,2023-11-01,2023-11-01
CT,2023-03-31,2023-03-31,2023-03-31
DC,2023-11-01,2023-11-01,2023-11-01
DE,2023-03-01,2023-03-01,2023-03-01
FL,2023-04-30,2023-04-30,2023-04-30
GA,2023-11-01,2023-11-01,2023-11-01
HI,2023-11-01,2023-11-01,2023-11-01
IA,2023-11-01,2023-11-01,2023-11-01
ID,2023-11-01,2023-11-01,2023-11-01
IL,2023-05-01,2023-05-01,2023-05-01
IN,2023-11-01,2023-11-01,2023-11-01
KS,2023-11-01,2023-11-01,2023-11-01
KY,2023-11-01,2023-11-01,2023-11-01
LA,2023-11-01,2023-11-01,2023-11-01
MA,2023-11-01,2023-11-01,2023-11-01
MD,2023-10-31,2023-10-31,2023-10-31
ME,2023-11-01,2023-11-01,2023-11-01
MI,2023-07-01,2023-07-01,2023-07-01
MN,2023-10-31,2023-10-31,2023-10-31
MO,2023-11-01,2023-11-01,2023-11-01
MS,2023-11-01,2023-11-01,2023-11-01
MT,2023-11-01,2023-11-01,2023-11-01
NC,2023-11-01,2023-11-01,2023-11-01
ND,2023-11-01,2023-11-01,2023-11-01
NE,2023-11-01,2023-11-01,2023-11-01
NH,2023-11-01,2023-11-01,2023-11-01
NJ,2023-10-31,2023-10-31,2023-10-31
NM,2023-11-01,2023-11-01,2023-11-01
NV,2023-11-01,2023-11-01,2023-11-01
NY,2023-03-10,2023-03-10,2023-03-10
OH,2023-11-01,2023-11-01,2023-11-01
OK,2023-11-01,2023-11-01,2023-11-01
OR,2023-11-01,2023-11-01,2023-11-01
PA,2023-04-15,2023-04-15,2023-04-15
RI,2023-11-01,2023-11-01,2023-11-01
SC,2023-11-01,2023-11-01,2023-11-01
SD,2023-11-01,2023-11-01,2023-11-01
TN,2023-05-01,2023-05-01,2023-05-01
TX,2023-07-01,2023-07-01,2023-07-01
UT,2023-11-01,2023-11-01,2023-11-01
VA,2023-11-01,2023-11-01,2023-11-01
VT,2023-05-01,2023-05-01,2023-05-01
WA,2023-11-01,2023-11-01,2023-11-01
WI,2023-11-01,2023-11-01,2023-11-01
WV,2023-11-01,2023-11-01,2023-11-01
WY,2023-11-01,2023-11-01,2023-11-01
